Budget Period,Agency,Fund,Program,Activity,Available Amount,Obligated Amount,Spend Amount,Remaining Amount,Budget Amount,Budget Remaining Amount
2020,Accountancy Board,General,Accountancy,Accountancy,571113.17,0,571113.17,0,584009.26,12896.09
2020,Accountancy Board,Payroll Clearing,-,-,0,0,0,0,0,0
2020,Administration Dept,Arts & Cultural Heritage Fund,Fiscal Agent,Misc Grants/Studies/Others,2777330.92,0,2777330.92,0,2780020,2689.08
2020,Administration Dept,Arts & Cultural Heritage Fund,Fiscal Agent,Public Broadcasting,8086904.22,0,8086904.22,0,8088826.14,1921.92
2020,Administration Dept,Arts & Cultural Heritage Fund,Govt And Citizen Services,Office Of Grants Management,66202.1,0,66202.1,0,66202.1,0
2020,Administration Dept,Arts & Cultural Heritage Fund,Govt and Citizen Services,Office Of Grants Management,199332.49,0,199332.49,0,200367.11,1034.62
2020,Administration Dept,Building Construction-Bonded,Fiscal Agent,Misc Grants/Studies/Others,11017000,3977160.26,4539839.74,2500000,8517000,0
2020,Administration Dept,Building Construction-Bonded,Govt And Citizen Services,Real Estate & Construction Agent,115377588.75,1683185.88,113515261.5,179141.37,115198447.38,0
2020,Administration Dept,Building Construction-Bonded,Govt and Citizen Services,Real Estate & Construction Agent,855819.87,130093.19,725726.68,0,855819.87,0
2020,Administration Dept,COVID Minnesota,Fiscal Agent,Misc Grants/Studies/Others,159369.18,0,159369.18,0,168848.99,9479.81
2020,Administration Dept,Central Mail ISF,Govt and Citizen Services,Facilities Management,9024095.69,0,9024095.69,0,9024095.69,0
2020,Administration Dept,Coop Purchasing,Govt and Citizen Services,Office of State Procurement,27140688.1,0,24802007.99,2338680.11,25407752.36,605744.37
2020,Administration Dept,Coronavirus Relief Fund,Govt and Citizen Services,Risk Management,33753.22,0,33753.22,0,33753.22,0
2020,Administration Dept,Coronavirus Relief Fund,Strategic Mgmt Services,Exec Support Leadership/Partnerships,401999,0,401999,0,401999,0
2020,Administration Dept,ElecVehicle Appr Bond Proceeds,Fiscal Agent,Misc Grants/Studies/Others,2000000,103329.23,1875565.62,21105.15,2000000,21105.15
2020,Administration Dept,Federal,Govt And Citizen Services,Developmental Disabilities Council,1198125.73,0,1198125.73,0,1198144.29,18.56
2020,Administration Dept,Federal,Govt And Citizen Services,Office of State Procurement,3180.18,0,3180.18,0,3180.18,0
2020,Administration Dept,Federal,Govt And Citizen Services,State Assistive Tech (STAR),411012.42,0,407700.73,3311.69,407700.73,0
2020,Administration Dept,Federal,Govt And Citizen Services,State Historic Preservation,248814.92,0,248814.92,0,248814.92,0
2020,Administration Dept,Federal,Govt and Citizen Services,Office of State Procurement,683382.75,0,610077.85,73304.9,610351.77,273.92
2020,Administration Dept,Federal,Govt and Citizen Services,State Historic Preservation,781626.9,0,723450.52,58176.38,781626.9,58176.38
2020,Administration Dept,Fleet Service,Govt and Citizen Services,Fleet And Surplus Services,9904315.66,0,7063590.03,2840725.63,7796227.54,732637.51
2020,Administration Dept,General,Fiscal Agent,In Lieu Of Rent,9391000,0,9391000,0,9391000,0
2020,Administration Dept,General,Fiscal Agent,Public Broadcasting,2813131.14,0,2813131.14,0,2818999.98,5868.84
2020,Administration Dept,General,Govt And Citizen Services,State Demographer,1477378.84,0,1477378.84,0,1518566.61,41187.77
2020,Administration Dept,General,Govt and Citizen Services,Data Practices Office,510212.84,0,510212.84,0,510692.79,479.95
2020,Administration Dept,General,Govt and Citizen Services,Developmental Disabilities Council,222000,0,222000,0,222000,0
2020,Administration Dept,General,Govt and Citizen Services,Enterprise Real Property Prog,688577.1,0,688577.1,0,716764.1,28187
2020,Administration Dept,General,Govt and Citizen Services,Facilities Management,396134.9,0,396134.9,0,396634.9,500
2020,Administration Dept,General,Govt and Citizen Services,Office Of Grants Management,146292.53,0,146292.53,0,146384.72,92.19
2020,Administration Dept,General,Govt and Citizen Services,Office of Collab/Dispute Res,397499.99,0,397499.99,0,397499.99,0
2020,Administration Dept,General,Govt and Citizen Services,Office of State Procurement,2365671.09,0,2365671.09,0,2368736.43,3065.34
2020,Administration Dept,General,Govt and Citizen Services,Operational Excellence,392752.16,0,392752.16,0,393037.52,285.36
2020,Administration Dept,General,Govt and Citizen Services,Real Estate & Construction Agent,2517131.14,0,2517131.14,0,2635576.41,118445.27
2020,Administration Dept,General,Govt and Citizen Services,Risk Management,660650.32,0,660650.32,0,660650.32,0
2020,Administration Dept,General,Govt and Citizen Services,Small Agency Resource Team,444993.99,0,444993.99,0,445076.55,82.56
2020,Administration Dept,General,Govt and Citizen Services,State Archaeologist,256250.84,0,256250.84,0,256282.29,31.45
2020,Administration Dept,General,Govt and Citizen Services,State Assistive Tech (STAR),0,0,0,0,0,0
2020,Administration Dept,General,Govt and Citizen Services,State Demographer,722772.24,0,722772.24,0,729982.26,7210.02
2020,Administration Dept,General,Govt and Citizen Services,State Historic Preservation,504850.16,0,504850.16,0,519380.01,14529.85
2020,Administration Dept,General,Strategic Mgmt Services,Exec Support Leadership/Partnerships,657998.16,0,657998.16,0,658757.21,759.05
2020,Administration Dept,General,Strategic Mgmt Services,Financial Mgmt And Reporting,886082.94,0,886082.94,0,887100.69,1017.75
2020,Administration Dept,General,Strategic Mgmt Services,Human Resources-Administration,416063.47,0,416063.47,0,416063.47,0
2020,Administration Dept,Gift,Fiscal Agent,Misc Grants/Studies/Others,1270.8,0,1067.94,202.86,1067.94,0
2020,Administration Dept,Gift,Govt And Citizen Services,Real Estate & Construction Agent,0,0,0,0,0,0
2020,Administration Dept,Gift,Govt and Citizen Services,Facilities Management,4595.19,0,3086.27,1508.92,3086.27,0
2020,Administration Dept,Gift,Govt and Citizen Services,Real Estate & Construction Agent,21327.44,0,20992.25,335.19,20992.25,0
2020,Administration Dept,Gift,Govt and Citizen Services,State Archaeologist,2.29,0,0,2.29,0,0
2020,Administration Dept,Gift,Govt and Citizen Services,State Assistive Tech (STAR),4523.07,0,4523.07,0,4523.07,0
2020,Administration Dept,MN Bookstore,Govt and Citizen Services,Facilities Management,1120676.41,0,892923.78,227752.63,933450.19,40526.41
2020,Administration Dept,Master Lease,Govt And Citizen Services,Facilities Management,316964.99,0,153475.52,163489.47,153475.52,0
2020,Administration Dept,Master Lease,Govt And Citizen Services,Fleet And Surplus Services,25461546.11,0,12302231.52,13159314.59,12302231.52,0
2020,Administration Dept,Oil Overcharge,Fiscal Agent,Misc Grants/Studies/Others,0,0,0,0,0,0
2020,Administration Dept,Other Misc Special Revenue,Fiscal Agent,Misc Grants/Studies/Others,0,0,0,0,0,0
2020,Administration Dept,Other Misc Special Revenue,Govt and Citizen Services,Enterprise Real Property Prog,287820.88,0,287820.88,0,287820.88,0
2020,Administration Dept,Other Misc Special Revenue,Govt and Citizen Services,Facilities Management,14322507.27,0,5889287.27,8433220,7288116.83,1398829.56
2020,Administration Dept,Other Misc Special Revenue,Govt and Citizen Services,Office of State Procurement,19017.55,0,18617.55,400,18617.55,0
2020,Administration Dept,Other Misc Special Revenue,Govt and Citizen Services,Real Estate & Construction Agent,495967.19,0,495967.19,0,500000,4032.81
2020,Administration Dept,Other Misc Special Revenue,Govt and Citizen Services,Risk Management,32178999.05,0,32132930.37,46068.68,32275623.77,142693.4
2020,Administration Dept,Other Misc Special Revenue,Govt and Citizen Services,Small Agency Resource Team,884540.81,0,826540.81,58000,838035.12,11494.31
2020,Administration Dept,Other Misc Special Revenue,Govt and Citizen Services,State Archaeologist,125000,0,86098.99,38901.01,86215.81,116.82
2020,Administration Dept,Other Misc Special Revenue,Govt and Citizen Services,State Assistive Tech (STAR),173871.77,0,173871.77,0,176052.77,2181
2020,Administration Dept,Other Misc Special Revenue,Strategic Mgmt Services,Exec Support Leadership/Partnerships,581189.17,0,578733.39,2455.78,578733.39,0
