Budget Period,Agency,Fund,Program,Activity,Available Amount,Obligated Amount,Spend Amount,Remaining Amount,Budget Amount,Budget Remaining Amount
2025,Accountancy Board,General,Accountancy,Accountancy,718017.68,0,718017.68,0,718017.68,0
2025,Accountancy Board,Payroll Clearing,-,-,0,0,0,0,0,0
2025,Administration Dept,Arts & Cultural Heritage Fund,Fiscal Agent,Misc Grants/Studies/Others,8193385.5,2544740.79,5648644.71,0,8194645.59,1260.09
2025,Administration Dept,Arts & Cultural Heritage Fund,Fiscal Agent,Public Broadcasting,8605328.35,348132.92,8257195.43,0,8605328.4,0.05
2025,Administration Dept,Arts & Cultural Heritage Fund,Govt and Citizen Services,Office Of Grants Management,486164.25,0,486164.25,0,486164.25,0
2025,Administration Dept,Building Construction-Bonded,Govt and Citizen Services,Real Estate & Construction Agent,191160000,61257293.23,2888888.77,128907160.42,191160000,127013818
2025,Administration Dept,Central Mail ISF,Govt and Citizen Services,Facilities Management,14130273.49,500916.8,13629356.69,0,14130902.66,629.17
2025,Administration Dept,Climate and Economic Dev,Govt and Citizen Services,Enterprise Sustainability,116090.75,0,116090.75,0,762500,646409.25
2025,Administration Dept,Coop Purchasing,Govt and Citizen Services,Office of State Procurement,17893129.7,1090533.96,16688658.12,113937.62,17793138.67,13946.59
2025,Administration Dept,Federal,Govt and Citizen Services,APEX Accelerator,160078,0,133704.55,26373.45,137764.04,4059.49
2025,Administration Dept,Federal,Govt and Citizen Services,Developmental Disabilities Council,1360213.66,0,1132349.66,227864,1209788.84,77439.18
2025,Administration Dept,Federal,Govt and Citizen Services,Procurement Tech Asst Center,594309.3,0,594309.3,0,594309.3,0
2025,Administration Dept,Federal,Govt and Citizen Services,State Assistive Tech (STAR),871208.9,0,683584.2,187624.7,771150.96,87566.76
2025,Administration Dept,Federal,Govt and Citizen Services,State Historic Preservation,1204194.21,30000,1174194.21,0,1204194.21,0
2025,Administration Dept,Fleet Service,Govt and Citizen Services,Fleet And Surplus Services,12142889.65,188431.67,8547215.84,3407242.14,8777983.86,42336.35
2025,Administration Dept,General,Fiscal Agent,In Lieu Of Rent,10856899.12,5863.4,10851035.72,0,11169786.37,312887.25
2025,Administration Dept,General,Fiscal Agent,Misc Grants/Studies/Others,12871329.36,163073.13,12708256.23,0,19065120.25,6193790.89
2025,Administration Dept,General,Fiscal Agent,Public Broadcasting,4692128.9,8791.64,4683337.26,0,4703774.95,11646.05
2025,Administration Dept,General,Govt and Citizen Services,APEX Accelerator,348731.41,0,348731.41,0,348731.41,0
2025,Administration Dept,General,Govt and Citizen Services,Data Practices Office,502556.39,0,502556.39,0,505978.02,3421.63
2025,Administration Dept,General,Govt and Citizen Services,Developmental Disabilities Council,222000,0,222000,0,222000,0
2025,Administration Dept,General,Govt and Citizen Services,Enterprise Real Property Prog,890000,0,890000,0,890000,0
