Budget Period,Agency,Fund,Program,Activity,Available Amount,Obligated Amount,Spend Amount,Remaining Amount,Budget Amount,Budget Remaining Amount
2021,Accountancy Board,General,Accountancy,Accountancy,598993.81,0,598993.81,0,605382.04,6388.23
2021,Accountancy Board,Payroll Clearing,-,-,0,0,0,0,0,0
2021,Administration Dept,Arts & Cultural Heritage Fund,Fiscal Agent,Misc Grants/Studies/Others,2466016.46,0,2466016.46,0,2473063.32,7046.86
2021,Administration Dept,Arts & Cultural Heritage Fund,Fiscal Agent,Public Broadcasting,7110759,0,7110759,0,7140131.16,29372.16
2021,Administration Dept,Arts & Cultural Heritage Fund,Govt And Citizen Services,Office Of Grants Management,120070.16,0,120070.16,0,122290.04,2219.88
2021,Administration Dept,Arts & Cultural Heritage Fund,Govt and Citizen Services,Office Of Grants Management,146462.89,0,146462.89,0,146462.89,0
2021,Administration Dept,COVID Minnesota,Fiscal Agent,Misc Grants/Studies/Others,426605.02,0,426605.02,0,427340.13,735.11
2021,Administration Dept,Central Mail ISF,Govt and Citizen Services,Facilities Management,10598630.19,0,10298289.12,300341.07,10337471.28,39182.16
2021,Administration Dept,Coop Purchasing,Govt and Citizen Services,Office of State Procurement,26753120.23,0,26753120.23,0,27471548.12,718427.89
2021,Administration Dept,Coronavirus Relief Fund,Fiscal Agent,Misc Grants/Studies/Others,755.62,0,755.62,0,755.62,0
2021,Administration Dept,Coronavirus Relief Fund,Govt and Citizen Services,Risk Management,1499999.9,0,1499999.9,0,1499999.9,0
2021,Administration Dept,Coronavirus Relief Fund,Strategic Mgmt Services,Exec Support Leadership/Partnerships,0,0,0,0,0,0
2021,Administration Dept,Federal,Fiscal Agent,Misc Grants/Studies/Others,5502589.55,0,5502589.55,0,5502589.55,0
2021,Administration Dept,Federal,Govt And Citizen Services,Developmental Disabilities Council,1334507.42,0,1334507.42,0,1334507.42,0
2021,Administration Dept,Federal,Govt And Citizen Services,State Assistive Tech (STAR),129941.79,0,122418.87,7522.92,122418.87,0
2021,Administration Dept,Federal,Govt And Citizen Services,State Historic Preservation,1068738,0,867736.39,201001.61,869497.39,1761
2021,Administration Dept,Federal,Govt and Citizen Services,Office of State Procurement,573995.36,0,573995.36,0,573995.43,0.07
2021,Administration Dept,Federal,Govt and Citizen Services,Procurement Tech Asst Center,5907.91,0,5907.91,0,5907.91,0
2021,Administration Dept,Federal,Govt and Citizen Services,State Assistive Tech (STAR),258273.4,0,258273.4,0,258273.4,0
2021,Administration Dept,Federal,Govt and Citizen Services,State Historic Preservation,176733.26,0,158232.28,18500.98,172133.26,13900.98
2021,Administration Dept,Fleet Service,Govt and Citizen Services,Fleet And Surplus Services,8850839.59,0,6085110.45,2765729.14,7274237.24,1189126.79
2021,Administration Dept,General,Fiscal Agent,In Lieu Of Rent,9891000,0,9891000,0,9891000,0
2021,Administration Dept,General,Fiscal Agent,Public Broadcasting,2790470.59,0,2790470.59,0,2818251.81,27781.22
2021,Administration Dept,General,Govt And Citizen Services,Continuous Improvement (Lean),0,0,0,0,0,0
2021,Administration Dept,General,Govt And Citizen Services,Data Practices Office,0,0,0,0,0,0
2021,Administration Dept,General,Govt And Citizen Services,Facilities Management,0,0,0,0,0,0
2021,Administration Dept,General,Govt And Citizen Services,Office Of Grants Management,0,0,0,0,0,0
2021,Administration Dept,General,Govt And Citizen Services,Office of State Procurement,0,0,0,0,0,0
2021,Administration Dept,General,Govt And Citizen Services,Real Estate & Construction Agent,0,0,0,0,0,0
2021,Administration Dept,General,Govt And Citizen Services,State Assistive Tech (STAR),0,0,0,0,0,0
2021,Administration Dept,General,Govt And Citizen Services,State Demographer,19034.14,0,19034.14,0,19325.68,291.54
2021,Administration Dept,General,Govt And Citizen Services,State Historic Preservation,0,0,0,0,0,0
2021,Administration Dept,General,Govt and Citizen Services,Data Practices Office,480761.2,0,480761.2,0,488748.41,7987.21
2021,Administration Dept,General,Govt and Citizen Services,Developmental Disabilities Council,222000,0,222000,0,222000,0
2021,Administration Dept,General,Govt and Citizen Services,Enterprise Real Property Prog,706105.24,0,706105.24,0,706522.57,417.33
