Budget Period,Agency,Fund,Program,Activity,Available Amount,Obligated Amount,Spend Amount,Remaining Amount,Budget Amount,Budget Remaining Amount
2024,Accountancy Board,General,Accountancy,Accountancy,725608.69,0,725608.69,0,733546,7937.31
2024,Accountancy Board,Payroll Clearing,-,-,0,0,0,0,0,0
2024,Administration Dept,Arts & Cultural Heritage Fund,Fiscal Agent,Misc Grants/Studies/Others,4591780.1,164358.83,4427421.27,0,4819045.91,227265.81
2024,Administration Dept,Arts & Cultural Heritage Fund,Fiscal Agent,Public Broadcasting,8515671.32,42255.4,8473415.92,0,8736000,220328.68
2024,Administration Dept,Arts & Cultural Heritage Fund,Govt and Citizen Services,Office Of Grants Management,344719.39,0,344719.39,0,351442.77,6723.38
2024,Administration Dept,Central Mail ISF,Govt and Citizen Services,Facilities Management,14430857.72,7802,14156873.54,266182.18,14214219.61,49544.07
2024,Administration Dept,Coop Purchasing,Govt and Citizen Services,Office of State Procurement,48450287.131,681672.1,45498886.17,2269728.861,46345684.02,165125.75
2024,Administration Dept,Federal,Govt and Citizen Services,APEX Accelerator,0,0,0,0,0,0
2024,Administration Dept,Federal,Govt and Citizen Services,Developmental Disabilities Council,1202808.63,0,1202808.63,0,1202808.63,0
2024,Administration Dept,Federal,Govt and Citizen Services,Procurement Tech Asst Center,721821.69,0,721821.69,0,721821.69,0
2024,Administration Dept,Federal,Govt and Citizen Services,State Assistive Tech (STAR),748505.93,0,646595.84,101910.09,646595.84,0
2024,Administration Dept,Federal,Govt and Citizen Services,State Historic Preservation,1167438.59,0,1167438.59,0,1167438.59,0
2024,Administration Dept,Fleet Service,Govt and Citizen Services,Fleet And Surplus Services,10734535.23,0,7962982.92,2771552.31,8466830.19,503847.27
2024,Administration Dept,General,Fiscal Agent,In Lieu Of Rent,11083633.53,0,11083633.53,0,11089705.79,6072.26
2024,Administration Dept,General,Fiscal Agent,Misc Grants/Studies/Others,20244333.73,351308.81,19893024.92,0,36725575.44,16481241.71
2024,Administration Dept,General,Fiscal Agent,Public Broadcasting,7962968.58,993054.69,6969913.89,0,7963648.58,680
2024,Administration Dept,General,Govt and Citizen Services,APEX Accelerator,321766.61,0,321766.61,0,321794.08,27.47
2024,Administration Dept,General,Govt and Citizen Services,Data Practices Office,525987.41,0,525987.41,0,527660.28,1672.87
2024,Administration Dept,General,Govt and Citizen Services,Developmental Disabilities Council,222000,0,222000,0,222000,0
2024,Administration Dept,General,Govt and Citizen Services,Enterprise Real Property Prog,882880.5,0,882880.5,0,883000,119.5
2024,Administration Dept,General,Govt and Citizen Services,Enterprise Sustainability,212204.91,0,212204.91,0,215194.91,2990
2024,Administration Dept,General,Govt and Citizen Services,Facilities Management,437392.23,0,437392.23,0,437543.27,151.04
2024,Administration Dept,General,Govt and Citizen Services,Office Of Grants Management,762367.96,30.82,762337.14,0,841120.71,78752.75
2024,Administration Dept,General,Govt and Citizen Services,Office of Collab/Dispute Res,490743.51,0,490743.51,0,491966.45,1222.94
2024,Administration Dept,General,Govt and Citizen Services,Office of State Procurement,3195518.32,40970.95,3154547.37,0,3208034.1,12515.78
2024,Administration Dept,General,Govt and Citizen Services,Office of Translations,131174.41,0,131174.41,0,166050.89,34876.48
2024,Administration Dept,General,Govt and Citizen Services,Operational Excellence,255701.85,0,255701.85,0,262423.87,6722.02
2024,Administration Dept,General,Govt and Citizen Services,Real Estate & Construction Agent,3367474.48,10056.81,3357417.67,0,3636586.55,269112.07
2024,Administration Dept,General,Govt and Citizen Services,Risk Management,708516.55,0,708516.55,0,788000,79483.45
2024,Administration Dept,General,Govt and Citizen Services,Small Agency Resource Team,635425.62,0,635425.62,0,636289.28,863.66
2024,Administration Dept,General,Govt and Citizen Services,State Archaeologist,502524.82,0,502524.82,0,587052.43,84527.61
2024,Administration Dept,General,Govt and Citizen Services,State Assistive Tech (STAR),0,0,0,0,0,0
2024,Administration Dept,General,Govt and Citizen Services,State Demographer,797513.58,0,797513.58,0,828258.65,30745.07
2024,Administration Dept,General,Govt and Citizen Services,State Historic Preservation,606044.84,0,606044.84,0,621113.1,15068.26
2024,Administration Dept,General,Strategic Mgmt Services,Exec Support Leadership/Partnerships,885062.51,0,885062.51,0,948238.49,63175.98
2024,Administration Dept,General,Strategic Mgmt Services,Financial Mgmt And Reporting,864382.23,0,864382.23,0,874887.41,10505.18
2024,Administration Dept,General,Strategic Mgmt Services,Human Resources-Administration,462687.12,0,462687.12,0,470114.45,7427.33
2024,Administration Dept,General Projects,Govt and Citizen Services,Real Estate & Construction Agent,54538000,15082778.21,17876443.16,22036596.98,54538000,21578778.63
2024,Administration Dept,Gift,Fiscal Agent,Misc Grants/Studies/Others,0,0,0,0,0,0
2024,Administration Dept,Gift,Govt and Citizen Services,Facilities Management,100.1,0,0,100.1,0,0
2024,Administration Dept,Gift,Govt and Citizen Services,Real Estate & Construction Agent,7249877.26,265.84,7040020.95,209590.47,7040286.79,0
2024,Administration Dept,Gift,Govt and Citizen Services,State Archaeologist,0,0,0,0,0,0
2024,Administration Dept,Gift,Govt and Citizen Services,State Assistive Tech (STAR),3.86,0,3.86,0,3.86,0
2024,Administration Dept,MN Bookstore,Govt and Citizen Services,Mailing Lists/State Register,495086.43,0,281653.93,213432.5,283111.25,1457.32
2024,Administration Dept,Master Lease,Govt and Citizen Services,Fleet And Surplus Services,36867663.04,0,26561271.41,10306391.63,26561271.41,0
2024,Administration Dept,Other Misc Special Revenue,Fiscal Agent,Misc Grants/Studies/Others,0,0,0,0,0,0
2024,Administration Dept,Other Misc Special Revenue,Govt and Citizen Services,Developmental Disabilities Council,211394,0,211394,0,211394,0
2024,Administration Dept,Other Misc Special Revenue,Govt and Citizen Services,Enterprise Real Property Prog,101831.38,0,101831.38,0,150000,48168.62
2024,Administration Dept,Other Misc Special Revenue,Govt and Citizen Services,Enterprise Sustainability,604522.87,0,548322.87,56200,601664.03,53341.16
2024,Administration Dept,Other Misc Special Revenue,Govt and Citizen Services,Facilities Management,11148866.19,0,11148866.19,0,11181609.19,32743
2024,Administration Dept,Other Misc Special Revenue,Govt and Citizen Services,Office of State Procurement,24490.49,0,24490.49,0,24490.49,0
2024,Administration Dept,Other Misc Special Revenue,Govt and Citizen Services,Office of Translations,0,0,0,0,0,0
2024,Administration Dept,Other Misc Special Revenue,Govt and Citizen Services,Real Estate & Construction Agent,499992.34,0,499992.34,0,499992.34,0
2024,Administration Dept,Other Misc Special Revenue,Govt and Citizen Services,Risk Management,39500582.69,0,39057239.67,443343.02,39435522.59,378282.92
2024,Administration Dept,Other Misc Special Revenue,Govt and Citizen Services,Small Agency Resource Team,1495904.06,0,1491091.06,4813,1493296.43,2205.37
2024,Administration Dept,Other Misc Special Revenue,Govt and Citizen Services,State Archaeologist,125020.71,0,54011.27,71009.44,57620.49,3609.22
2024,Administration Dept,Other Misc Special Revenue,Govt and Citizen Services,State Assistive Tech (STAR),279497.49,0,279497.49,0,279497.49,0
2024,Administration Dept,Other Misc Special Revenue,Govt and Citizen Services,State Historic Preservation,125000,0,67505.27,57494.73,67505.27,0
2024,Administration Dept,Other Misc Special Revenue,Strategic Mgmt Services,Financial Mgmt And Reporting,4018605.93,0,3546714.81,471891.12,3586543.83,39829.02
2024,Administration Dept,Other Misc Special Revenue,Strategic Mgmt Services,Human Resources-Administration,458121.34,0,458121.34,0,458121.34,0
2024,Administration Dept,Payroll Clearing,-,-,0,0,0,0,0,0
2024,Administration Dept,Plant Management,Govt and Citizen Services,Facilities Management,69877866.26,123818.25,67997813.5,1756234.51,75783260.72,7661628.97
2024,Administration Dept,Renewable Development,Govt and Citizen Services,Enterprise Sustainability,23243.25,0,23243.25,0,27243.25,4000
2024,Administration Dept,Renewable Development,Govt and Citizen Services,Real Estate & Construction Agent,68682.67,0,68682.67,0,68682.67,0
2024,Administration Dept,Restrict Misc Special Revenue,Govt and Citizen Services,Data Practices Office,48178.48,0,48178.48,0,49003.48,825
2024,Administration Dept,Restrict Misc Special Revenue,Govt and Citizen Services,Facilities Management,3136808.61,29933.05,3001140.36,105735.2,3031073.41,0
2024,Administration Dept,Restrict Misc Special Revenue,Govt and Citizen Services,Office of State Procurement,0,0,0,0,0,0
2024,Administration Dept,Restrict Misc Special Revenue,Govt and Citizen Services,Real Estate & Construction Agent,11369.75,0,11369.75,0,11369.75,0
2024,Administration Dept,Restrict Misc Special Revenue,Govt and Citizen Services,State Archaeologist,14834.83,0,9397.74,5437.09,9397.74,0
2024,Administration Dept,Restrict Misc Special Revenue,Govt and Citizen Services,State Historic Preservation,305292.76,0,299994.37,5298.39,300494.37,500
2024,Administration Dept,Restrict Misc Special Revenue,Strategic Mgmt Services,Exec Support Leadership/Partnerships,0,0,0,0,0,0
2024,Administration Dept,Risk Management,Govt and Citizen Services,Risk Management,19336413.39,0,19334913.39,1500,19334913.39,0
2024,Administration Dept,State Office Building COP Bond,Govt and Citizen Services,Real Estate & Construction Agent,478582000,234047573.46,233283563.37,11250863.17,478582000,11250863.17
2024,Administration Dept,Surplus Propert,Govt and Citizen Services,Fleet And Surplus Services,1567704.75,0,1567704.75,0,1634358.22,66653.47
2024,Administrative Hearings,Administrative Hearings,Administrative Hearings,Administrative Hearings,4322738.16,0,3255130.44,1067607.72,3264106.86,8976.42
2024,Administrative Hearings,Environmental,Administrative Hearings,Administrative Hearings,33776.64,0,33776.64,0,34075.79,299.15
2024,Administrative Hearings,General,Administrative Hearings,Administrative Hearings,807830.52,0,807830.52,0,810608.38,2777.86
2024,Administrative Hearings,Payroll Clearing,-,-,0,0,0,0,0,0
2024,Administrative Hearings,Workers Comp Transcript,Administrative Hearings,Workers Compensation-OAH,98600.64,0,542.64,98058,555.97,13.33
2024,Administrative Hearings,Workers Compensation,Administrative Hearings,Workers Compensation-OAH,8676424.6,0,8676424.6,0,8720040.01,43615.41
2024,Agriculture Dept,Agriculture Fund,Admin and Financial Assist,Agency Services - Agriculture,1420988.75,0,1412421.95,8566.8,1412621.95,200
2024,Agriculture Dept,Agriculture Fund,Ag Marketing & Development,"Marketing, Development, and Innovation",795392.52,0,365392.52,430000,376964.61,11572.09
2024,Agriculture Dept,Agriculture Fund,Protection Service,Dairy and Meat Inspection,2614156.62,0,2614156.62,0,2614156.62,0
2024,Agriculture Dept,Agriculture Fund,Protection Service,Food and Feed Safety,7056276.19,0,7056276.19,0,7056276.19,0
2024,Agriculture Dept,Agriculture Fund,Protection Service,Lab Services,3057476,0,3057476,0,3057795.49,319.49
2024,Agriculture Dept,Agriculture Fund,Protection Service,Pesticide and Fertilizer Mgmt,20602086.12,0,20602086.12,0,20602086.12,0
2024,Agriculture Dept,Agriculture Fund,Protection Service,Plant Protection,4170270.44,0,4170270.44,0,4170270.44,0
2024,Agriculture Dept,Agriculture Fund,Value-added Products,Value-Added,10781591.41,1919153.14,8862438.27,0,11164752.07,383160.66
2024,Agriculture Dept,Arts & Cultural Heritage Fund,Admin and Financial Assist,Grants and Assistance,381722.14,42718.57,339003.57,0,382732.14,1010
2024,Agriculture Dept,Clean Water Fund,Admin and Financial Assist,Agency Services - Agriculture,67277.26,0,67277.26,0,67277.26,0
2024,Agriculture Dept,Clean Water Fund,Protection Service,Lab Services,364924.37,0,364924.37,0,364924.37,0
2024,Agriculture Dept,Clean Water Fund,Protection Service,Pesticide and Fertilizer Mgmt,12563610.64,0,12563610.64,0,12563610.64,0
2024,Agriculture Dept,Clean Water Revolving Fund,Admin and Financial Assist,Agency Services - Agriculture,13419905.37,0,13419905.37,0,13419905.37,0
2024,Agriculture Dept,Environment & Natural Resource,Protection Service,Pesticide and Fertilizer Mgmt,444289.13,0,444289.13,0,444289.13,0
2024,Agriculture Dept,Federal,Admin and Financial Assist,Agency Services - Agriculture,1448376.82,147458.89,1049579.88,251338.05,1197038.77,0
2024,Agriculture Dept,Federal,Ag Marketing & Development,"Marketing, Development, and Innovation",3869143.96,480623.01,3058013.52,330507.43,3746248.24,207611.71
2024,Agriculture Dept,Federal,Promotion and Marketing,Ag Marketing and Development,80692.51,0,80692.51,0,80692.51,0
2024,Agriculture Dept,Federal,Protection Service,Dairy and Meat Inspection,2167670.43,0,2167670.43,0,2167670.43,0
2024,Agriculture Dept,Federal,Protection Service,Food and Feed Safety,1831879.25,0,1831856.4,22.85,1831856.4,0
2024,Agriculture Dept,Federal,Protection Service,Lab Services,1739586.07,0,1739586.07,0,1739586.07,0
2024,Agriculture Dept,Federal,Protection Service,Pesticide and Fertilizer Mgmt,357612.45,0,347571.95,10040.5,347571.95,0
2024,Agriculture Dept,Federal,Protection Service,Plant Protection,1882471.21,0,1882471.19,0.02,1882471.19,0
2024,Agriculture Dept,General,Admin and Financial Assist,Agency Services - Agriculture,8520113.98,0,8520113.98,0,8537883.24,17769.26
2024,Agriculture Dept,General,Admin and Financial Assist,Grants and Assistance,5155631.04,55660.45,5099970.59,0,5157995.93,2364.89
2024,Agriculture Dept,General,Ag Marketing & Development,"Marketing, Development, and Innovation",4212916.85,42294.24,4170622.61,0,4242917.2,30000.35
2024,Agriculture Dept,General,Promotion and Marketing,Ag Marketing and Development,10208.29,0,10208.29,0,10208.29,0
2024,Agriculture Dept,General,Protection Service,Dairy and Meat Inspection,3082208.17,0,3082208.17,0,3082208.17,0
2024,Agriculture Dept,General,Protection Service,Food and Feed Safety,3738208.68,0,3738208.68,0,3738208.68,0
2024,Agriculture Dept,General,Protection Service,Lab Services,6070439.69,0,6070439.69,0,6071513.9,1074.21
2024,Agriculture Dept,General,Protection Service,Pesticide and Fertilizer Mgmt,1729177.26,0,1729177.26,0,1729177.26,0
2024,Agriculture Dept,General,Protection Service,Plant Protection,3566451.32,0,3566451.32,0,3566451.32,0
2024,Agriculture Dept,General,Value-added Products,Bio-energy Products,1342.35,0,1342.35,0,1342.35,0
2024,Agriculture Dept,General,Value-added Products,Value-Added,17524767.06,2942346.54,14582420.52,0,17864535.12,339768.06
2024,Agriculture Dept,Gift,Admin and Financial Assist,Agency Services - Agriculture,7597.34,0,7597.34,0,7597.34,0
2024,Agriculture Dept,Gift,Admin and Financial Assist,Grants and Assistance,0,0,0,0,0,0
2024,Agriculture Dept,Gift,Ag Marketing & Development,"Marketing, Development, and Innovation",75116.91,0,75116.91,0,75116.91,0
2024,Agriculture Dept,Gift,Protection Service,Pesticide and Fertilizer Mgmt,0,0,0,0,0,0
2024,Agriculture Dept,Gift,Value-added Products,Value-Added,0,0,0,0,0,0
2024,Agriculture Dept,Miscellaneous Agency,Admin and Financial Assist,Agency Services - Agriculture,0,0,0,0,0,0
2024,Agriculture Dept,Other Misc Special Revenue,Admin and Financial Assist,Agency Services - Agriculture,7421506.09,0,6702308.58,719197.51,6705465.93,3157.35
2024,Agriculture Dept,Other Misc Special Revenue,Protection Service,Dairy and Meat Inspection,45379.58,0,45379.58,0,45379.58,0
2024,Agriculture Dept,Other Misc Special Revenue,Protection Service,Food and Feed Safety,99985.12,0,37363.33,62621.79,37363.33,0
2024,Agriculture Dept,Other Misc Special Revenue,Protection Service,Pesticide and Fertilizer Mgmt,6877.27,0,6877.27,0,6877.27,0
2024,Agriculture Dept,Payroll Clearing,-,-,0,0,0,0,0,0
