Budget Period,Agency,Fund,Program,Activity,Available Amount,Obligated Amount,Spend Amount,Remaining Amount,Budget Amount,Budget Remaining Amount
2026,Accountancy Board,General,Accountancy,Accountancy,1132373.63,701067.06,397700.42,574483.18,1125721.92,26954.44
2026,Accountancy Board,Payroll Clearing,-,-,0,0,0,0,0,0
2026,Administration Dept,Arts & Cultural Heritage Fund,Fiscal Agent,Misc Grants/Studies/Others,3533274.5,856610.23,224457.77,2452206.5,3256830,2175762
2026,Administration Dept,Arts & Cultural Heritage Fund,Fiscal Agent,Public Broadcasting,6024495.05,5381226.2,608868.8,34400.05,6024495,34400
2026,Administration Dept,Arts & Cultural Heritage Fund,Govt and Citizen Services,Office Of Grants Management,806231.47,257819.43,213025.75,575085.04,487556.47,16711.29
2026,Administration Dept,Central Mail ISF,Govt and Citizen Services,Facilities Management,16496929.67,4437541.73,7579064.61,4893401.4,14254144,2237537.66
2026,Administration Dept,Climate and Economic Dev,Govt and Citizen Services,Enterprise Sustainability,2383909.25,559690,201719.25,1622500,761409.25,0
2026,Administration Dept,Coop Purchasing,Govt and Citizen Services,Office of State Procurement,104716934.31,12789145.29,7755858.62,92943666.74,32614846,12069842.09
2026,Administration Dept,Federal,Govt and Citizen Services,APEX Accelerator,634165.22,261667.44,310365.89,303327.19,622302,50268.67
2026,Administration Dept,Federal,Govt and Citizen Services,Developmental Disabilities Council,1305711.4,835349.14,373527.51,288573.81,1287734,78857.35
2026,Administration Dept,Federal,Govt and Citizen Services,State Assistive Tech (STAR),910257.49,604281.83,256666.79,373305.43,874248,13299.38
2026,Administration Dept,Federal,Govt and Citizen Services,State Historic Preservation,1191943.61,742295.26,431060.78,629455.09,1191943.61,18587.57
2026,Administration Dept,Fleet Service,Govt and Citizen Services,Fleet And Surplus Services,27500586.09,4775270.42,5005544.2,18232256.35,22255768.197,12474953.577
2026,Administration Dept,General,Fiscal Agent,In Lieu Of Rent,12419467.35,6372465.5,5930534.5,116467.35,12303000,0
2026,Administration Dept,General,Fiscal Agent,Misc Grants/Studies/Others,42289567.84,9161495.47,2974527.3,30153545.07,16594408.35,4458385.58
2026,Administration Dept,General,Fiscal Agent,Public Broadcasting,4729760,2400684.75,2259016.53,73712.18,4704000,44298.72
2026,Administration Dept,General,Govt and Citizen Services,APEX Accelerator,416501.98,205345.76,168569.75,247932.23,387000,13084.49
2026,Administration Dept,General,Govt and Citizen Services,Data Practices Office,684953.48,298318.33,251430.11,405336.21,637000,87251.56
2026,Administration Dept,General,Govt and Citizen Services,Developmental Disabilities Council,229000,98524.52,123543.66,67465.32,229000,6931.82
2026,Administration Dept,General,Govt and Citizen Services,Enterprise Real Property Prog,902119.5,527485.86,272024.23,270379.67,902000,102489.91
2026,Administration Dept,General,Govt and Citizen Services,Enterprise Sustainability,422282.49,222646.26,122990.85,280236.53,390000,44362.89
2026,Administration Dept,General,Govt and Citizen Services,Facilities Management,489383.51,300922.53,181039.88,259734.97,482000,37.59
2026,Administration Dept,General,Govt and Citizen Services,Office Of Grants Management,5182168.8,1838746.87,444845.27,3684067.66,2455000,171407.86
2026,Administration Dept,General,Govt and Citizen Services,Office of Collab/Dispute Res,559170.24,306562.02,230794.02,210634.71,552000,14643.96
2026,Administration Dept,General,Govt and Citizen Services,Office of State Procurement,3082717.92,1639546.32,1286137.12,1461971.69,3078000,152316.56
2026,Administration Dept,General,Govt and Citizen Services,Office of Translations,918852.77,529911.74,368228.82,451472.12,918000,19859.44
2026,Administration Dept,General,Govt and Citizen Services,Operational Excellence,518592.33,322603.22,136773.49,361174.19,488000,28623.29
2026,Administration Dept,General,Govt and Citizen Services,Real Estate & Construction Agent,16514960.69,2200283.48,1835175.66,14167475.97,15670017.62,11634558.48
2026,Administration Dept,General,Govt and Citizen Services,Risk Management,715000,503537.16,211462.84,0,715000,0
2026,Administration Dept,General,Govt and Citizen Services,Small Agency Resource Team,1310321.31,835517.9,413397.19,834358.97,1308000,59084.91
