Budget Period,Agency,Fund,Program,Activity,Available Amount,Obligated Amount,Spend Amount,Remaining Amount,Budget Amount,Budget Remaining Amount
2023,Accountancy Board,General,Accountancy,Accountancy,657147.17,0,657147.17,0,657164.43,17.26
2023,Accountancy Board,Payroll Clearing,-,-,0,0,0,0,0,0
2023,Administration Dept,ARP-State Fiscal Recovery,Fiscal Agent,Misc Grants/Studies/Others,639245.95,0,639245.95,0,649976.07,10730.12
2023,Administration Dept,ARP-State Fiscal Recovery,Govt and Citizen Services,Facilities Management,2865063.9,0,2865063.9,0,2865063.9,0
2023,Administration Dept,ARP-State Fiscal Recovery,Govt and Citizen Services,Office of State Procurement,853267.64,0,853267.64,0,853267.64,0
2023,Administration Dept,ARP-State Fiscal Recovery,Govt and Citizen Services,Real Estate & Construction Agent,1815926.61,0,1815926.61,0,2054441.84,238515.23
2023,Administration Dept,ARP-State Fiscal Recovery,Govt and Citizen Services,Risk Management,2288971.81,0,2288971.81,0,2288971.81,0
2023,Administration Dept,Arts & Cultural Heritage Fund,Fiscal Agent,Misc Grants/Studies/Others,2817497.4,5356.39,2812141.01,0,2817500,2.6
2023,Administration Dept,Arts & Cultural Heritage Fund,Fiscal Agent,Public Broadcasting,8257207.17,0,8257207.17,0,8257515.24,308.07
2023,Administration Dept,Arts & Cultural Heritage Fund,Govt and Citizen Services,Office Of Grants Management,310443.08,0,310443.08,0,315838.39,5395.31
2023,Administration Dept,Building Construction-Bonded,Govt and Citizen Services,Real Estate & Construction Agent,178209000,31972848.01,59382777.03,87945730.51,178209000,86853374.96
2023,Administration Dept,Central Mail ISF,Govt and Citizen Services,Facilities Management,11306597.79,0,10897769.63,408828.16,10944530.53,46760.9
2023,Administration Dept,Coop Purchasing,Govt and Citizen Services,Office of State Procurement,19248924.84,0,19248924.84,0,19827366.28,578441.44
2023,Administration Dept,Environment & Natural Resource,Fiscal Agent,Misc Grants/Studies/Others,200000,3887.04,196112.96,0,200000,0
2023,Administration Dept,Federal,Govt and Citizen Services,APEX Accelerator,632090.14,0,631908.25,181.89,633221.23,1312.98
2023,Administration Dept,Federal,Govt and Citizen Services,Developmental Disabilities Council,1263750.13,0,1248877.35,14872.78,1248877.35,0
2023,Administration Dept,Federal,Govt and Citizen Services,Procurement Tech Asst Center,30319.63,0,30319.63,0,30319.63,0
2023,Administration Dept,Federal,Govt and Citizen Services,State Assistive Tech (STAR),615011.36,0,615011.36,0,615011.36,0
2023,Administration Dept,Federal,Govt and Citizen Services,State Historic Preservation,1099991.49,0,1051040.44,48951.05,1051040.44,0
2023,Administration Dept,Fleet Service,Govt and Citizen Services,Fleet And Surplus Services,7985337.06,0,7985337.06,0,8343006.26,357669.2
2023,Administration Dept,General,Fiscal Agent,In Lieu Of Rent,10511381.72,0,10511381.72,0,10515000,3618.28
2023,Administration Dept,General,Fiscal Agent,Misc Grants/Studies/Others,10820613.72,0,10820613.72,0,10973311.62,152697.9
2023,Administration Dept,General,Fiscal Agent,Public Broadcasting,2877437.01,0,2877437.01,0,2943999.62,66562.61
2023,Administration Dept,General,Govt and Citizen Services,Data Practices Office,531551.32,0,531551.32,0,533800.96,2249.64
2023,Administration Dept,General,Govt and Citizen Services,Developmental Disabilities Council,222000,0,222000,0,222000,0
2023,Administration Dept,General,Govt and Citizen Services,Enterprise Real Property Prog,839911.73,0,839911.73,0,840528.17,616.44
2023,Administration Dept,General,Govt and Citizen Services,Facilities Management,436337.65,0,436337.65,0,436337.65,0
2023,Administration Dept,General,Govt and Citizen Services,Office Of Grants Management,177758.56,0,177758.56,0,181662.49,3903.93
2023,Administration Dept,General,Govt and Citizen Services,Office of Collab/Dispute Res,463925.46,0,463925.46,0,483983.28,20057.82
2023,Administration Dept,General,Govt and Citizen Services,Office of State Procurement,2487257.1,0,2487257.1,0,2492179.76,4922.66
2023,Administration Dept,General,Govt and Citizen Services,Operational Excellence,267103.18,0,267103.18,0,272511.83,5408.65
2023,Administration Dept,General,Govt and Citizen Services,Real Estate & Construction Agent,2823086.58,0,2823086.58,0,2841643.77,18557.19
2023,Administration Dept,General,Govt and Citizen Services,Risk Management,769148.86,0,769148.86,0,769148.86,0
2023,Administration Dept,General,Govt and Citizen Services,Small Agency Resource Team,416024.68,0,416024.68,0,417028.52,1003.84
2023,Administration Dept,General,Govt and Citizen Services,State Archaeologist,314089.45,0,314089.45,0,316444.59,2355.14
2023,Administration Dept,General,Govt and Citizen Services,State Assistive Tech (STAR),0,0,0,0,0,0
2023,Administration Dept,General,Govt and Citizen Services,State Demographer,684004.87,0,684004.87,0,711391.93,27387.06
2023,Administration Dept,General,Govt and Citizen Services,State Historic Preservation,544759.13,0,544759.13,0,549687.61,4928.48
2023,Administration Dept,General,Strategic Mgmt Services,Exec Support Leadership/Partnerships,784078.51,0,784078.51,0,787314.64,3236.13
2023,Administration Dept,General,Strategic Mgmt Services,Financial Mgmt And Reporting,787720.54,0,787720.54,0,818870.91,31150.37
2023,Administration Dept,General,Strategic Mgmt Services,Human Resources-Administration,447559.96,0,447559.96,0,453642.89,6082.93
2023,Administration Dept,General Projects,Govt and Citizen Services,Real Estate & Construction Agent,16378586.47,40412.42,16236477.84,101696.21,16378586.47,101696.21
2023,Administration Dept,Gift,Fiscal Agent,Misc Grants/Studies/Others,0,0,0,0,0,0
2023,Administration Dept,Gift,Govt and Citizen Services,Facilities Management,0.1,0,0,0.1,0,0
2023,Administration Dept,Gift,Govt and Citizen Services,Real Estate & Construction Agent,3786290.79,0,2629039.1,1157251.69,2629039.1,0
2023,Administration Dept,Gift,Govt and Citizen Services,State Archaeologist,0,0,0,0,0,0
2023,Administration Dept,Gift,Govt and Citizen Services,State Assistive Tech (STAR),1.95,0,0,1.95,0,0
2023,Administration Dept,MN Bookstore,Govt and Citizen Services,Mailing Lists/State Register,353727.25,0,289047.13,64680.12,295746.53,6699.4
2023,Administration Dept,Master Lease,Govt and Citizen Services,Fleet And Surplus Services,22894471.48,0,11004766.17,11889705.31,11055210.04,50443.87
2023,Administration Dept,Oil Overcharge,Fiscal Agent,Misc Grants/Studies/Others,0,0,0,0,0,0
2023,Administration Dept,Other Misc Special Revenue,Govt and Citizen Services,Developmental Disabilities Council,82800,0,82800,0,82800,0
2023,Administration Dept,Other Misc Special Revenue,Govt and Citizen Services,Enterprise Real Property Prog,59574.54,0,59574.54,0,60000,425.46
2023,Administration Dept,Other Misc Special Revenue,Govt and Citizen Services,Enterprise Sustainability,573853.63,0,573853.63,0,589721.45,15867.82
2023,Administration Dept,Other Misc Special Revenue,Govt and Citizen Services,Facilities Management,6894935.38,0,6894935.38,0,6931510.18,36574.8
2023,Administration Dept,Other Misc Special Revenue,Govt and Citizen Services,Office of State Procurement,18549.16,0,18549.16,0,18549.16,0
2023,Administration Dept,Other Misc Special Revenue,Govt and Citizen Services,Procurement Tech Asst Center,42017.25,0,42017.25,0,42017.25,0
2023,Administration Dept,Other Misc Special Revenue,Govt and Citizen Services,Real Estate & Construction Agent,542000,0,542000,0,542000,0
2023,Administration Dept,Other Misc Special Revenue,Govt and Citizen Services,Risk Management,35932062.72,0,35932062.72,0,36162320.27,230257.55
2023,Administration Dept,Other Misc Special Revenue,Govt and Citizen Services,Small Agency Resource Team,1343700.85,0,1317950.85,25750,1326444.04,8493.19
2023,Administration Dept,Other Misc Special Revenue,Govt and Citizen Services,State Archaeologist,87335.43,0,87335.43,0,87356.14,20.71
2023,Administration Dept,Other Misc Special Revenue,Govt and Citizen Services,State Assistive Tech (STAR),190065.56,0,190065.56,0,192768.02,2702.46
2023,Administration Dept,Other Misc Special Revenue,Govt and Citizen Services,State Historic Preservation,58793.16,0,58793.16,0,58793.16,0
2023,Administration Dept,Other Misc Special Revenue,Strategic Mgmt Services,Financial Mgmt And Reporting,3698377.15,0,3192697.51,505679.64,3333461.13,140763.62
2023,Administration Dept,Payroll Clearing,-,-,0,0,0,0,0,0
2023,Administration Dept,Plant Management,Govt and Citizen Services,Facilities Management,59327591.43,0,58441050.22,886541.21,59491265,1050214.78
2023,Administration Dept,Renewable Development,Govt and Citizen Services,Enterprise Sustainability,185081.82,0,185081.82,0,292718.06,107636.24
2023,Administration Dept,Renewable Development,Govt and Citizen Services,Real Estate & Construction Agent,0,0,0,0,0,0
2023,Administration Dept,Restrict Misc Special Revenue,Govt and Citizen Services,Data Practices Office,45124.97,0,45124.97,0,45523.43,398.46
2023,Administration Dept,Restrict Misc Special Revenue,Govt and Citizen Services,Facilities Management,1559158.95,0,1559158.95,0,1559158.95,0
2023,Administration Dept,Restrict Misc Special Revenue,Govt and Citizen Services,Office of State Procurement,0,0,0,0,0,0
2023,Administration Dept,Restrict Misc Special Revenue,Govt and Citizen Services,Real Estate & Construction Agent,0,0,0,0,0,0
2023,Administration Dept,Restrict Misc Special Revenue,Govt and Citizen Services,Risk Management,0,0,0,0,0,0
2023,Administration Dept,Restrict Misc Special Revenue,Govt and Citizen Services,State Archaeologist,12912.35,0,12912.35,0,12912.35,0
2023,Administration Dept,Restrict Misc Special Revenue,Govt and Citizen Services,State Assistive Tech (STAR),0,0,0,0,0,0
2023,Administration Dept,Restrict Misc Special Revenue,Govt and Citizen Services,State Historic Preservation,254802.49,0,254802.49,0,255617.54,815.05
2023,Administration Dept,Restrict Misc Special Revenue,Strategic Mgmt Services,Exec Support Leadership/Partnerships,0,0,0,0,0,0
2023,Administration Dept,Risk Management,Govt and Citizen Services,Risk Management,20797252.77,0,20783996.77,13256,20783996.77,0
2023,Administration Dept,Surplus Propert,Govt and Citizen Services,Fleet And Surplus Services,1595063.42,0,1283382.72,311680.7,1314780.23,31397.51
2023,Administrative Hearings,Administrative Hearings,Administrative Hearings,Administrative Hearings,3401013.32,0,3188635.74,212377.58,3193083.11,4447.37
2023,Administrative Hearings,Environmental,Administrative Hearings,Administrative Hearings,31419.08,0,31419.08,0,31466.75,47.67
2023,Administrative Hearings,General,Administrative Hearings,Administrative Hearings,625791.93,0,625791.93,0,626206.58,414.65
2023,Administrative Hearings,Payroll Clearing,-,-,0,0,0,0,0,0
2023,Administrative Hearings,Workers Comp Transcript,Administrative Hearings,Workers Compensation-OAH,4341.62,0,791.62,3550,791.62,0
2023,Administrative Hearings,Workers Compensation,Administrative Hearings,Workers Compensation-OAH,7783581.23,0,7783581.23,0,7795802.48,12221.25
2023,Agriculture Dept,ARP-State Fiscal Recovery,Admin and Financial Assist,Grants and Assistance,696.78,0,696.78,0,696.78,0
2023,Agriculture Dept,Agriculture Fund,Admin and Financial Assist,Agency Services - Agriculture,1698289.37,0,1698289.37,0,1700035.37,1746
2023,Agriculture Dept,Agriculture Fund,Ag Marketing & Development,"Marketing, Development, and Innovation",514998.02,0,474842.87,40155.15,484271.97,9429.1
2023,Agriculture Dept,Agriculture Fund,Promotion and Marketing,Ag Marketing and Development,465196.33,0,196.33,465000,196.33,0
2023,Agriculture Dept,Agriculture Fund,Protection Service,Dairy and Meat Inspection,2404603.37,0,2404603.37,0,2404603.37,0
2023,Agriculture Dept,Agriculture Fund,Protection Service,Food and Feed Safety,3170659.34,0,3170659.34,0,3170659.34,0
2023,Agriculture Dept,Agriculture Fund,Protection Service,Lab Services,2909835.47,0,2909835.47,0,2910209.84,374.37
2023,Agriculture Dept,Agriculture Fund,Protection Service,Pesticide and Fertilizer Mgmt,16161859.38,0,16150629.38,11230,16150629.38,0
2023,Agriculture Dept,Agriculture Fund,Protection Service,Plant Protection,4147824.02,0,4147824.02,0,4147824.02,0
2023,Agriculture Dept,Agriculture Fund,Value-added Products,Value-Added,9556018.32,332636.96,9057584.09,165797.27,9390221.05,0
2023,Agriculture Dept,Arts & Cultural Heritage Fund,Admin and Financial Assist,Grants and Assistance,334900.64,17950,316950.64,0,338748.86,3848.22
2023,Agriculture Dept,Clean Water Fund,Admin and Financial Assist,Agency Services - Agriculture,65270.33,0,65270.33,0,65270.33,0
2023,Agriculture Dept,Clean Water Fund,Protection Service,Lab Services,342218.39,0,342218.39,0,342218.39,0
