Budget Period,Payment Amount,Agency
2025,184799.54,Accountancy Board
2025,246948536.46,Administration Dept
2025,3429220.98,Administrative Hearings
2025,110327839.61,Agriculture Dept
2025,4568000,Agriculture Utilization Resrch
2025,1829398.16,Amateur Sports Comm
2025,1850055.63,Animal Health Board
2025,246956.78,"Architecture, Engineering Bd"
2025,55615411.81,Arts Board
2025,185477.82,Asian-Pacific Council
2025,27301670.31,Attorney General
2025,134796.54,Barber Examiners Board
2025,262546.22,Behavioral Health & Therapy Bd
2025,23932433.6,Board Of Public Defense
2025,3787988.31,Board of Teaching
2025,742442.35,Bureau of Mediation Services
2025,2619115.61,Campaign Fin & Public Discl Bd
2025,1361615.11,Cannabis Expungement Board
2025,8865435.42,Cannabis Management Office
2025,315054.32,Capitol Area Architect
2025,198775.73,Chiropractors Board
2025,355568.65,Clemency Review Commission
2025,12378049.32,Climate Innovn Finance Authrty
2025,492950569.62,Commerce Dept
2025,403254771.35,Corrections Dept
2025,1143283.01,Cosmetologist Exam Board
2025,245809.26,Council for MN of African Heri
2025,1650112.41,Court Of Appeals
2025,1555956.77,Dentistry Board
2025,28037263173.42,Department of Human Services
2025,48306.79,Dietetics & Nutrition Practice
2025,1361398.39,Disability Council
2025,13868543874.59,Education Department
2025,1805534.64,Emergency Medical Services Bd
2025,483083453.34,Employ & Econ Development Dept
2025,181639.68,Exec for LT Svcs & Supports Bd
2025,24279710.94,Explore Minnesota Tourism
2025,360631.46,Foster Youth Ombudsperson
2025,1378932.1,Gambling Control Board
2025,1939091.13,Governors Office
2025,2350735.03,Guardian ad Litem Board
2025,542952206.03,Health Department
2025,48735362.22,Historical Society
2025,51353610.95,House of Representatives
2025,766565408.67,Housing Finance Agency
2025,1869879.71,Human Rights Dept
2025,10030333.33,Humanities Center
2025,699447.75,Indian Affairs Council
2025,6950384.72,Investment Board
2025,131046422.6,Iron Range Resources & Rehab
2025,402644.33,Judicial Standards Board
2025,13950669.33,LCC-Leg Coordinating Comm
2025,435401.73,LGBTQIA2S+ Minnesotans Council
2025,66623871.78,Labor & Industry Dept
2025,831425.12,Legislative Auditor
2025,456823.52,Lottery
2025,166734.93,MN Council on Latino Affairs
2025,73228.51,MN Secure Choice Retirement Bd
2025,560024323.19,MN St Colleges & Universities
2025,1318734024.79,MN State Retirement System
2025,390704810.15,MN.IT Services
2025,26877041.72,MNsure
2025,107282.2,Marriage & Family Therapy
2025,2678232.11,Medical Practice Board
2025,526734541.39,Metropolitan Council
2025,94748766.75,Military Affairs Dept
2025,1112416.7,Minn Conservation Corps
2025,16339900.95,Minnesota Zoological Garden
2025,1368888561.17,Mmb Debt Service
2025,130453812.88,Mmb Non-operating
2025,1916353275.4,Mn Management & Budget
2025,5057712.17,Mn State Academies
2025,489806156.8,Natural Resources Dept
2025,1951471.13,Nursing Board
2025,113323.05,Occupational Therapy Pract Bd
2025,3568761.84,Office of Emergency Med Svc
2025,503585967.85,Office of Higher Education
2025,65394.99,Ombud American Indian Families
2025,405307.99,Ombud Mental Hlth & Dev Dis
2025,164836.17,Ombudsperson for Corrections
2025,95525.35,Ombudsperson for Families
2025,80560.74,Optometry Board
2025,9965912.41,Peace Officer Board (POST)
2025,1964828.88,Perpich Ctr For Arts Education
2025,2849568.06,Pharmacy Board
2025,201096.73,Physical Therapy Board
2025,41297.58,Podiatric Medicine Board
2025,322848950.86,Pollution Control Agency
2025,226461.83,Private Detective Board
2025,538665.56,Psychology Board
2025,2815806414.31,Public Employees Retire Assoc
2025,359621899.2,Public Facilities Authority
2025,695201051.47,Public Safety Dept
2025,3203051.08,Public Utilities Comm
2025,3696643.32,Racing Commission
2025,285099.88,Rare Disease Advisory Council
2025,58579284.6,Revenue Dept
2025,2677574402.95,Revenue Intergovt Payments
2025,2928264.08,Science Museum
2025,10032166.93,Secretary of State
2025,18907530.06,Senate
2025,242665.16,Sentencing Guidelines Comm
2025,532465.39,Social Work Board
2025,2894265.05,State Auditor
2025,514411.84,State Competency Attainment Bd
2025,53298815.32,Supreme Court
2025,410189.38,Tax Court
2025,2078364119.28,Teachers Retirement Assoc
2025,2977449745.8,Transportation Dept
2025,90429614.93,Trial Courts
2025,90954.78,Uniform Laws Commission
2025,808527351.84,University Of Minnesota
2025,66937753.01,Veterans Affairs Dept
2025,126420.26,Veterinary Medicine Board
2025,89179300.7,Water & Soil Resources Board
2025,346930.73,Workers Comp Court of Appeals
