Budget Period,Payment Amount,Agency
2023,184386.42,Accountancy Board
2023,270944813.65,Administration Dept
2023,2475954.81,Administrative Hearings
2023,132722573.52,Agriculture Dept
2023,4043000,Agriculture Utilization Resrch
2023,9759045.01,Amateur Sports Comm
2023,2587633.57,Animal Health Board
2023,238294.15,"Architecture, Engineering Bd"
2023,42967779.94,Arts Board
2023,157981.6,Asian-Pacific Council
2023,12508495.38,Attorney General
2023,102568.53,Barber Examiners Board
2023,271093.15,Behavioral Health & Therapy Bd
2023,26663163.02,Board Of Public Defense
2023,5076328.19,Board of Teaching
2023,452155.16,Bureau of Mediation Services
2023,2581244.69,Campaign Fin & Public Discl Bd
2023,70574.85,Capitol Area Architect
2023,196787.58,Chiropractors Board
2023,446430510.72,Commerce Dept
2023,316385713.54,Corrections Dept
2023,1243396.72,Cosmetologist Exam Board
2023,222269.4,Council for MN of African Heri
2023,1960827.66,Court Of Appeals
2023,1444415.85,Dentistry Board
2023,25499004093.71,Department of Human Services
2023,40287.21,Dietetics & Nutrition Practice
2023,470306.53,Disability Council
2023,11924797745.99,Education Department
2023,3746712.9,Emergency Medical Services Bd
2023,669865036.05,Employ & Econ Development Dept
2023,129147.87,Exec for LT Svcs & Supports Bd
2023,12863788.62,Explore Minnesota Tourism
2023,1365286.01,Gambling Control Board
2023,1351892.27,Governors Office
2023,2619914.86,Guardian ad Litem Board
2023,632816598.12,Health Department
2023,43075426.04,Historical Society
2023,42234438.5,House of Representatives
2023,420330758.64,Housing Finance Agency
2023,1664163.63,Human Rights Dept
2023,7085000,Humanities Center
2023,1498730.56,Indian Affairs Council
2023,4516698.71,Investment Board
2023,95088096.71,Iron Range Resources & Rehab
2023,133282.55,Judicial Standards Board
2023,3844928.2,LCC-Leg Coordinating Comm
2023,73040542.02,Labor & Industry Dept
2023,715989.69,Legislative Auditor
2023,360929.08,Lottery
2023,112424.29,MN Council on Latino Affairs
2023,690346133.58,MN St Colleges & Universities
2023,1230758537.52,MN State Retirement System
2023,290828104.75,MN.IT Services
2023,14989858.01,MNsure
2023,79205.32,Marriage & Family Therapy
2023,2762725.94,Medical Practice Board
2023,513677889.66,Metropolitan Council
2023,101008477.22,Military Affairs Dept
2023,945000,Minn Conservation Corps
2023,36476233.65,Minnesota Zoological Garden
2023,1878213620.92,Mmb Debt Service
2023,129027212.49,Mmb Non-operating
2023,1596681964.14,Mn Management & Budget
2023,3514395.78,Mn State Academies
2023,536990537.07,Natural Resources Dept
2023,2146632.63,Nursing Board
2023,117224.99,Occupational Therapy Pract Bd
2023,378482670.91,Office of Higher Education
2023,58502.87,Ombud American Indian Families
2023,373308.85,Ombud Mental Hlth & Dev Dis
2023,128495.97,Ombudsperson for Corrections
2023,117239.47,Ombudsperson for Families
2023,80939.37,Optometry Board
2023,10185052.84,Peace Officer Board (POST)
2023,1792122.48,Perpich Ctr For Arts Education
2023,2253832.92,Pharmacy Board
2023,145294.47,Physical Therapy Board
2023,57620.34,Podiatric Medicine Board
2023,772337553.02,Pollution Control Agency
2023,22273.68,Private Detective Board
2023,302753.66,Psychology Board
2023,2616013209.27,Public Employees Retire Assoc
2023,511640420.51,Public Facilities Authority
2023,566284686.9,Public Safety Dept
2023,2602024.85,Public Utilities Comm
2023,3286542.75,Racing Commission
2023,124960.53,Rare Disease Advisory Council
2023,48872767.29,Revenue Dept
2023,2477126270.32,Revenue Intergovt Payments
2023,1655730,Science Museum
2023,5141607.05,Secretary of State
2023,17930541.95,Senate
2023,75020.41,Sentencing Guidelines Comm
2023,410687.82,Social Work Board
2023,1711624.58,State Auditor
2023,37507372.07,Supreme Court
2023,547308.18,Tax Court
2023,2037883441.63,Teachers Retirement Assoc
2023,3401780790.81,Transportation Dept
2023,71786917.77,Trial Courts
2023,87469.25,Uniform Laws Commission
2023,836647665.64,University Of Minnesota
2023,143093074.78,Veterans Affairs Dept
2023,102995.05,Veterinary Medicine Board
2023,82424069.44,Water & Soil Resources Board
2023,289400.27,Workers Comp Court of Appeals
