Budget Period,Payment Amount,Agency
2026,91257.55,Accountancy Board
2026,87013252.06,Administration Dept
2026,1253427.38,Administrative Hearings
2026,47085206.46,Agriculture Dept
2026,4388000,Agriculture Utilization Resrch
2026,29307,Amateur Sports Comm
2026,871897.45,Animal Health Board
2026,99734.01,"Architecture, Engineering Bd"
2026,27098233.14,Arts Board
2026,66827.21,Asian-Pacific Council
2026,10181484.63,Attorney General
2026,69182.97,Barber Examiners Board
2026,143827.62,Behavioral Health & Therapy Bd
2026,8974493.62,Board Of Public Defense
2026,821107.06,Board of Teaching
2026,226680.97,Bureau of Mediation Services
2026,918707.09,Campaign Fin & Public Discl Bd
2026,262868.6,Cannabis Expungement Board
2026,3759180.81,Cannabis Management Office
2026,20981.66,Capitol Area Architect
2026,849205234.12,Children Youth & Families Dept
2026,80749.17,Chiropractors Board
2026,99849.64,Clemency Review Commission
2026,7280623.44,Climate Innovn Finance Authrty
2026,86113504.57,Commerce Dept
2026,170404876.93,Corrections Dept
2026,457516.37,Cosmetologist Exam Board
2026,77732.9,Council for MN of African Heri
2026,587843.77,Court Of Appeals
2026,703195.8,Dentistry Board
2026,16078810152.45,Department of Human Services
2026,21356.18,Dietetics & Nutrition Practice
2026,55178223.11,Direct Care and Treatment
2026,546831.46,Disability Council
2026,5695871441.3,Education Department
2026,92317772.64,Employ & Econ Development Dept
2026,64724.54,Exec for LT Svcs & Supports Bd
2026,8604827.35,Explore Minnesota Tourism
2026,131164.28,Foster Youth Ombudsperson
2026,409436.59,Gambling Control Board
2026,724995.42,Governors Office
2026,966398.18,Guardian ad Litem Board
2026,130095921.65,Health Department
2026,25686291.33,Historical Society
2026,20902106.81,House of Representatives
2026,339663347.73,Housing Finance Agency
2026,569893.95,Human Rights Dept
2026,2710000,Humanities Center
2026,74667.8,Indian Affairs Council
2026,1861365.08,Investment Board
2026,39665201.51,Iron Range Resources & Rehab
2026,98805.17,Judicial Standards Board
2026,3159727.57,LCC-Leg Coordinating Comm
2026,44141.44,LGBTQIA2S+ Minnesotans Council
2026,31908450.71,Labor & Industry Dept
2026,424419.21,Legislative Auditor
2026,531083.56,Lottery
2026,55448.69,MN Council on Latino Affairs
2026,481072.31,MN Secure Choice Retirement Bd
2026,337338406.79,MN St Colleges & Universities
2026,786311538.78,MN State Retirement System
2026,196606513.58,MN.IT Services
2026,4417263.17,MNsure
2026,43283.48,Marriage & Family Therapy
2026,943998.89,Medical Practice Board
2026,235730846.74,Metropolitan Council
2026,45111281.77,Military Affairs Dept
2026,777727,Minn Conservation Corps
2026,6993383.19,Minnesota Zoological Garden
2026,1316757126.94,Mmb Debt Service
2026,82351656.05,Mmb Non-operating
2026,1017122130.1,Mn Management & Budget
2026,2166862.67,Mn State Academies
2026,197384973.42,Natural Resources Dept
2026,850556.96,Nursing Board
2026,116059.39,Occupational Therapy Pract Bd
2026,1156899.66,Office of Emergency Med Svc
2026,242695090.41,Office of Higher Education
2026,23763.45,Ombud American Indian Families
2026,143227.01,Ombud Mental Hlth & Dev Dis
2026,67242.52,Ombudsperson for Corrections
2026,36073.82,Ombudsperson for Families
2026,24507.53,Optometry Board
2026,219440.22,Peace Officer Board (POST)
2026,751252.9,Perpich Ctr For Arts Education
2026,399012.38,Pharmacy Board
2026,87471.02,Physical Therapy Board
2026,20766.99,Podiatric Medicine Board
2026,145121080.41,Pollution Control Agency
2026,39218,Private Detective Board
2026,208549.02,Psychology Board
2026,1673282456.39,Public Employees Retire Assoc
2026,235812787.38,Public Facilities Authority
2026,223828065.84,Public Safety Dept
2026,1403441.51,Public Utilities Comm
2026,2904877.36,Racing Commission
2026,60198.99,Rare Disease Advisory Council
2026,20877609.89,Revenue Dept
2026,2260854220.81,Revenue Intergovt Payments
2026,1704561,Science Museum
2026,4886799.84,Secretary of State
2026,8157249.68,Senate
2026,147852.66,Sentencing Guidelines Comm
2026,196333.91,Social Work Board
2026,807629.72,State Auditor
2026,17772540.09,State Board of Civil Legal Aid
2026,200670.09,State Competency Attainment Bd
2026,4788635.75,Supreme Court
2026,173937.42,Tax Court
2026,1222924269.66,Teachers Retirement Assoc
2026,1138214466.68,Transportation Dept
2026,23250104.95,Trial Courts
2026,15964.3,Uniform Laws Commission
2026,402209421.46,University Of Minnesota
2026,29790942.5,Veterans Affairs Dept
2026,47647.63,Veterinary Medicine Board
2026,44406905.49,Water & Soil Resources Board
2026,162729.68,Workers Comp Court of Appeals
